temp,rh,timestamp
19.9,58.2,2016-05-31 00:00:06
19.8,59.3,2016-05-31 00:05:04
19.7,58.5,2016-05-31 00:10:07
19.6,58.2,2016-05-31 00:15:04
19.5,58.0,2016-05-31 00:20:03
19.4,58.4,2016-05-31 00:25:06
19.3,59.1,2016-05-31 00:30:04
19.2,58.7,2016-05-31 00:35:04
19.1,58.6,2016-05-31 00:40:03
19.0,58.2,2016-05-31 00:45:09
18.9,58.1,2016-05-31 00:50:14
18.9,58.2,2016-05-31 00:55:09
18.8,58.1,2016-05-31 01:00:10
18.7,58.1,2016-05-31 01:05:04
18.6,58.4,2016-05-31 01:10:04
18.5,59.0,2016-05-31 01:15:03
18.4,57.6,2016-05-31 01:20:04
18.3,58.1,2016-05-31 01:25:17
18.3,58.9,2016-05-31 01:30:04
18.2,58.1,2016-05-31 01:35:06
18.2,58.6,2016-05-31 01:40:03
18.1,58.3,2016-05-31 01:45:04
18.1,58.5,2016-05-31 01:50:04
18.0,57.6,2016-05-31 01:55:04
17.9,58.1,2016-05-31 02:00:07
17.9,58.2,2016-05-31 02:05:09
17.8,58.0,2016-05-31 02:10:07
17.8,58.8,2016-05-31 02:15:04
17.7,58.4,2016-05-31 02:20:03
17.7,57.7,2016-05-31 02:25:04
17.6,57.9,2016-05-31 02:30:04
17.6,58.1,2016-05-31 02:35:04
17.5,57.8,2016-05-31 02:40:04
17.5,58.7,2016-05-31 02:45:04
17.4,58.3,2016-05-31 02:50:07
17.3,58.3,2016-05-31 02:55:07
17.4,58.2,2016-05-31 03:00:05
17.3,59.2,2016-05-31 03:05:04
17.2,58.4,2016-05-31 03:10:04
17.2,58.6,2016-05-31 03:15:04
17.2,58.9,2016-05-31 03:20:04
17.1,58.4,2016-05-31 03:25:06
17.0,58.3,2016-05-31 03:30:06
17.0,58.3,2016-05-31 03:35:06
17.0,59.0,2016-05-31 03:40:04
16.9,58.8,2016-05-31 03:45:04
16.9,58.2,2016-05-31 03:50:09
16.9,58.2,2016-05-31 03:55:06
16.8,58.1,2016-05-31 04:00:10
16.8,58.4,2016-05-31 04:05:04
16.8,58.5,2016-05-31 04:10:04
16.7,57.8,2016-05-31 04:15:04
16.7,57.6,2016-05-31 04:20:03
16.7,58.0,2016-05-31 04:25:06
16.7,58.0,2016-05-31 04:30:03
16.6,58.1,2016-05-31 04:35:04
16.6,58.2,2016-05-31 04:40:04
16.6,57.6,2016-05-31 04:45:04
16.6,58.7,2016-05-31 04:50:04
16.5,58.6,2016-05-31 04:55:04
16.5,58.3,2016-05-31 05:00:05
16.5,57.7,2016-05-31 05:05:04
16.4,57.6,2016-05-31 05:10:03
16.4,58.3,2016-05-31 05:15:04
16.4,58.4,2016-05-31 05:20:03
16.4,58.3,2016-05-31 05:25:04
16.3,57.9,2016-05-31 05:30:04
16.3,57.6,2016-05-31 05:35:07
16.3,57.4,2016-05-31 05:40:04
16.3,58.3,2016-05-31 05:45:03
16.2,58.0,2016-05-31 05:50:04
16.2,57.6,2016-05-31 05:55:04
16.3,58.0,2016-05-31 06:00:05
16.4,57.2,2016-05-31 06:05:04
16.5,57.2,2016-05-31 06:10:04
16.6,56.6,2016-05-31 06:15:03
16.7,57.0,2016-05-31 06:20:06
16.8,56.1,2016-05-31 06:25:05
16.9,57.2,2016-05-31 06:30:04
17.0,56.8,2016-05-31 06:35:04
17.1,56.1,2016-05-31 06:40:04
17.2,56.7,2016-05-31 06:45:03
17.2,55.5,2016-05-31 06:50:04
17.3,55.3,2016-05-31 06:55:04
17.4,56.1,2016-05-31 07:00:05
17.4,55.8,2016-05-31 07:05:04
17.5,55.9,2016-05-31 07:10:04
17.6,55.2,2016-05-31 07:15:04
17.6,55.2,2016-05-31 07:20:07
17.7,56.0,2016-05-31 07:25:04
17.7,56.0,2016-05-31 07:30:07
17.8,55.2,2016-05-31 07:35:04
17.8,56.1,2016-05-31 07:40:03
18.0,57.9,2016-05-31 07:45:04
18.0,58.4,2016-05-31 07:50:05
17.9,59.1,2016-05-31 07:55:04
17.8,59.0,2016-05-31 08:00:12
17.8,59.2,2016-05-31 08:05:05
17.5,60.5,2016-05-31 08:10:07
17.6,59.7,2016-05-31 08:15:06
17.6,59.7,2016-05-31 08:20:06
17.6,59.8,2016-05-31 08:25:04
17.2,60.5,2016-05-31 08:30:07
17.2,60.8,2016-05-31 08:35:04
17.3,60.7,2016-05-31 08:40:04
17.3,60.2,2016-05-31 08:45:06
17.3,60.0,2016-05-31 08:50:04
17.2,60.2,2016-05-31 08:55:04
17.1,60.7,2016-05-31 09:00:08
17.2,61.2,2016-05-31 09:05:04
17.1,60.8,2016-05-31 09:10:04
17.7,61.5,2016-05-31 09:15:03
20.5,54.5,2016-05-31 09:20:07
20.5,54.7,2016-05-31 09:25:04
20.7,56.2,2016-05-31 09:30:04
21.4,55.3,2016-05-31 09:35:06
20.2,56.2,2016-05-31 09:40:06
19.2,58.7,2016-05-31 09:45:06
19.1,59.8,2016-05-31 09:50:03
18.5,60.9,2016-05-31 09:55:04
18.2,61.6,2016-05-31 10:00:05
18.1,61.6,2016-05-31 10:05:09
18.1,60.9,2016-05-31 10:10:06
18.0,62.3,2016-05-31 10:15:04
17.8,61.8,2016-05-31 10:20:04
17.8,63.1,2016-05-31 10:25:03
17.7,62.5,2016-05-31 10:30:04
17.6,63.1,2016-05-31 10:35:04
17.6,63.0,2016-05-31 10:40:14
17.5,63.4,2016-05-31 10:45:04
17.7,62.8,2016-05-31 10:50:09
17.7,62.8,2016-05-31 10:55:04
17.7,62.6,2016-05-31 11:00:08
17.6,62.7,2016-05-31 11:05:03
17.5,63.5,2016-05-31 11:10:04
17.4,63.6,2016-05-31 11:15:04
17.3,63.4,2016-05-31 11:20:03
17.3,64.1,2016-05-31 11:25:04
17.3,64.0,2016-05-31 11:30:07
17.4,63.3,2016-05-31 11:35:09
17.4,63.7,2016-05-31 11:40:04
17.3,63.7,2016-05-31 11:45:03
17.2,63.8,2016-05-31 11:50:04
17.2,63.5,2016-05-31 11:55:04
17.2,64.1,2016-05-31 12:00:05
17.2,64.2,2016-05-31 12:05:03
17.2,64.9,2016-05-31 12:10:04
17.2,64.1,2016-05-31 12:15:04
17.2,65.0,2016-05-31 12:20:04
17.2,64.5,2016-05-31 12:25:06
17.2,64.7,2016-05-31 12:30:04
17.2,65.4,2016-05-31 12:35:04
17.2,65.0,2016-05-31 12:40:03
17.3,63.5,2016-05-31 12:45:06
17.4,64.5,2016-05-31 12:50:06
17.3,64.3,2016-05-31 12:55:03
17.2,66.0,2016-05-31 13:00:05
17.2,64.8,2016-05-31 13:05:06
17.2,65.5,2016-05-31 13:10:04
17.3,64.6,2016-05-31 13:15:06
17.3,65.6,2016-05-31 13:20:03
17.1,65.9,2016-05-31 13:25:04
17.0,65.7,2016-05-31 13:30:09
17.0,65.1,2016-05-31 13:35:04
17.0,65.7,2016-05-31 13:40:04
17.2,64.0,2016-05-31 13:45:07
17.2,63.8,2016-05-31 13:50:06
17.1,64.0,2016-05-31 13:55:04
16.9,65.2,2016-05-31 14:00:05
16.9,65.1,2016-05-31 14:05:04
17.0,63.8,2016-05-31 14:10:07
17.0,64.5,2016-05-31 14:15:04
16.8,65.0,2016-05-31 14:20:03
16.8,64.9,2016-05-31 14:25:06
16.7,65.7,2016-05-31 14:30:04
16.7,65.1,2016-05-31 14:35:04
16.8,65.0,2016-05-31 14:40:04
16.7,65.8,2016-05-31 14:45:03
16.7,65.4,2016-05-31 14:50:04
16.7,64.8,2016-05-31 14:55:07
16.7,64.8,2016-05-31 15:00:05
16.7,64.6,2016-05-31 15:05:04
16.7,64.6,2016-05-31 15:10:04
16.7,64.6,2016-05-31 15:15:03
16.7,64.3,2016-05-31 15:20:04
16.7,64.7,2016-05-31 15:25:04
16.7,65.6,2016-05-31 15:30:04
16.7,64.9,2016-05-31 15:35:04
16.7,65.2,2016-05-31 15:40:04
16.7,64.4,2016-05-31 15:45:03
16.7,64.5,2016-05-31 15:50:04
16.6,64.7,2016-05-31 15:55:14
16.6,64.7,2016-05-31 16:00:08
16.6,64.6,2016-05-31 16:05:04
16.6,64.6,2016-05-31 16:10:04
16.5,65.5,2016-05-31 16:15:04
16.5,64.8,2016-05-31 16:20:06
16.5,64.7,2016-05-31 16:25:04
16.6,64.6,2016-05-31 16:30:06
16.6,64.8,2016-05-31 16:35:06
16.6,64.5,2016-05-31 16:40:04
16.5,65.3,2016-05-31 16:45:04
16.5,65.3,2016-05-31 16:50:03
16.5,64.4,2016-05-31 16:55:04
16.5,64.9,2016-05-31 17:00:06
16.4,65.1,2016-05-31 17:05:04
16.6,63.6,2016-05-31 17:10:06
16.4,64.5,2016-05-31 17:15:06
16.4,65.0,2016-05-31 17:20:04
16.3,64.6,2016-05-31 17:25:04
16.3,64.1,2016-05-31 17:30:04
16.3,64.6,2016-05-31 17:35:08
16.3,64.8,2016-05-31 17:40:09
16.3,64.3,2016-05-31 17:45:03
16.6,63.9,2016-05-31 17:50:06
16.5,64.4,2016-05-31 17:55:03
16.4,65.3,2016-05-31 18:00:05
16.4,64.6,2016-05-31 18:05:04
16.5,65.0,2016-05-31 18:10:11
16.5,65.1,2016-05-31 18:15:06
16.5,64.8,2016-05-31 18:20:04
16.5,65.7,2016-05-31 18:25:03
16.5,64.7,2016-05-31 18:30:04
16.5,65.0,2016-05-31 18:35:06
16.5,64.6,2016-05-31 18:40:04
16.6,65.0,2016-05-31 18:45:03
16.6,65.1,2016-05-31 18:50:04
16.6,65.0,2016-05-31 18:55:04
18.4,63.0,2016-05-31 19:00:04
20.3,62.4,2016-05-31 19:05:06
20.4,62.2,2016-05-31 19:10:03
21.5,59.2,2016-05-31 19:15:06
21.4,59.8,2016-05-31 19:20:04
21.6,59.5,2016-05-31 19:25:03
21.7,60.0,2016-05-31 19:30:04
21.9,59.2,2016-05-31 19:35:03
